day_of_week,hour,casual,registered,measurement_type,value
Saturday,0,3.0,13.0,count,16
Saturday,1,8.0,32.0,count,40
Saturday,2,5.0,27.0,count,32
Saturday,3,3.0,10.0,count,13
Saturday,4,0.0,1.0,count,1
Saturday,5,0.0,1.0,count,1
Saturday,6,2.0,0.0,count,2
Saturday,7,1.0,2.0,count,3
Saturday,8,1.0,7.0,count,8
Saturday,9,8.0,6.0,count,14
Saturday,10,12.0,24.0,count,36
Saturday,11,26.0,30.0,count,56
Saturday,12,29.0,55.0,count,84
Saturday,13,47.0,47.0,count,94
Saturday,14,35.0,71.0,count,106
Saturday,15,40.0,70.0,count,110
Saturday,16,41.0,52.0,count,93
Saturday,17,15.0,52.0,count,67
Saturday,18,9.0,26.0,count,35
Saturday,19,6.0,31.0,count,37
Saturday,20,11.0,25.0,count,36
Saturday,21,3.0,31.0,count,34
Saturday,22,11.0,17.0,count,28
Saturday,23,15.0,24.0,count,39
Sunday,0,4.0,13.0,count,17
Sunday,1,1.0,16.0,count,17
Sunday,2,1.0,8.0,count,9
Sunday,3,2.0,4.0,count,6
Sunday,4,2.0,1.0,count,3
Sunday,6,0.0,2.0,count,2
Sunday,7,0.0,1.0,count,1
Sunday,8,0.0,8.0,count,8
Sunday,9,1.0,19.0,count,20
Sunday,10,7.0,46.0,count,53
Sunday,11,16.0,54.0,count,70
Sunday,12,20.0,73.0,count,93
Sunday,13,11.0,64.0,count,75
Sunday,14,4.0,55.0,count,59
Sunday,15,19.0,55.0,count,74
Sunday,16,9.0,67.0,count,76
Sunday,17,7.0,58.0,count,65
Sunday,18,10.0,43.0,count,53
Sunday,19,1.0,29.0,count,30
Sunday,20,5.0,17.0,count,22
Sunday,21,11.0,20.0,count,31
Sunday,22,0.0,9.0,count,9
Sunday,23,0.0,8.0,count,8
Monday,0,0.0,5.0,count,5
Monday,1,0.0,2.0,count,2
Monday,4,0.0,1.0,count,1
Monday,5,0.0,3.0,count,3
Monday,6,0.0,30.0,count,30
Monday,7,1.0,63.0,count,64
Monday,8,1.0,153.0,count,154
Monday,9,7.0,81.0,count,88
Monday,10,11.0,33.0,count,44
Monday,11,10.0,41.0,count,51
Monday,12,13.0,48.0,count,61
Monday,13,8.0,53.0,count,61
Monday,14,11.0,66.0,count,77
Monday,15,14.0,58.0,count,72
Monday,16,9.0,67.0,count,76
Monday,17,11.0,146.0,count,157
Monday,18,9.0,148.0,count,157
Monday,19,8.0,102.0,count,110
Monday,20,3.0,49.0,count,52
Monday,21,3.0,49.0,count,52
Monday,22,0.0,20.0,count,20
Monday,23,1.0,11.0,count,12
Tuesday,0,0.0,5.0,count,5
Tuesday,1,0.0,2.0,count,2
Tuesday,2,0.0,1.0,count,1
Tuesday,4,0.0,2.0,count,2
Tuesday,5,0.0,4.0,count,4
Tuesday,6,0.0,36.0,count,36
Tuesday,7,2.0,92.0,count,94
Tuesday,8,2.0,177.0,count,179
Tuesday,9,2.0,98.0,count,100
Tuesday,10,5.0,37.0,count,42
Tuesday,11,7.0,50.0,count,57
Tuesday,12,12.0,66.0,count,78
Tuesday,13,18.0,79.0,count,97
Tuesday,14,9.0,54.0,count,63
Tuesday,15,17.0,48.0,count,65
Tuesday,16,15.0,68.0,count,83
Tuesday,17,10.0,202.0,count,212
Tuesday,18,3.0,179.0,count,182
Tuesday,19,2.0,110.0,count,112
Tuesday,20,1.0,53.0,count,54
Tuesday,21,0.0,48.0,count,48
Tuesday,22,1.0,34.0,count,35
Tuesday,23,2.0,9.0,count,11
Wednesday,0,0.0,6.0,count,6
Wednesday,1,0.0,6.0,count,6
Wednesday,2,0.0,2.0,count,2
Wednesday,4,0.0,2.0,count,2
Wednesday,5,0.0,3.0,count,3
Wednesday,6,0.0,33.0,count,33
Wednesday,7,1.0,87.0,count,88
Wednesday,8,3.0,192.0,count,195
Wednesday,9,6.0,109.0,count,115
Wednesday,10,4.0,53.0,count,57
Wednesday,11,12.0,34.0,count,46
Wednesday,12,5.0,74.0,count,79
Wednesday,13,6.0,65.0,count,71
Wednesday,14,10.0,52.0,count,62
Wednesday,15,7.0,55.0,count,62
Wednesday,16,4.0,85.0,count,89
Wednesday,17,4.0,186.0,count,190
Wednesday,18,3.0,166.0,count,169
Wednesday,19,5.0,127.0,count,132
Wednesday,20,7.0,82.0,count,89
Wednesday,21,3.0,40.0,count,43
Wednesday,22,1.0,41.0,count,42
Wednesday,23,1.0,18.0,count,19
Thursday,0,0.0,11.0,count,11
Thursday,1,0.0,4.0,count,4
Thursday,2,0.0,2.0,count,2
Thursday,4,0.0,1.0,count,1
Thursday,5,0.0,4.0,count,4
Thursday,6,0.0,36.0,count,36
Thursday,7,0.0,95.0,count,95
Thursday,8,3.0,216.0,count,219
Thursday,9,6.0,116.0,count,122
Thursday,10,3.0,42.0,count,45
Thursday,11,2.0,57.0,count,59
Thursday,12,6.0,78.0,count,84
Thursday,13,12.0,55.0,count,67
Thursday,14,11.0,59.0,count,70
Thursday,15,8.0,54.0,count,62
Thursday,16,12.0,74.0,count,86
Thursday,17,9.0,163.0,count,172
Thursday,18,5.0,158.0,count,163
Thursday,19,3.0,109.0,count,112
Thursday,20,3.0,66.0,count,69
Thursday,21,0.0,48.0,count,48
Thursday,22,1.0,51.0,count,52
Thursday,23,4.0,19.0,count,23
Friday,0,4.0,13.0,count,17
Friday,1,2.0,5.0,count,7
Friday,2,0.0,1.0,count,1
Friday,4,0.0,1.0,count,1
Friday,5,0.0,5.0,count,5
Friday,6,8.0,26.0,count,34
Friday,7,8.0,76.0,count,84
Friday,8,20.0,190.0,count,210
Friday,9,9.0,125.0,count,134
Friday,10,16.0,47.0,count,63
Friday,11,19.0,48.0,count,67
Friday,12,9.0,50.0,count,59
Friday,13,9.0,64.0,count,73
Friday,14,7.0,43.0,count,50
Friday,15,9.0,63.0,count,72
Friday,16,5.0,82.0,count,87
Friday,17,9.0,178.0,count,187
Friday,18,7.0,116.0,count,123
Friday,19,3.0,92.0,count,95
Friday,20,1.0,50.0,count,51
Friday,21,0.0,39.0,count,39
Friday,22,2.0,34.0,count,36
Friday,23,1.0,14.0,count,15
Saturday,0,1.0,24.0,count,25
Saturday,1,1.0,15.0,count,16
Saturday,2,3.0,13.0,count,16
Saturday,3,0.0,7.0,count,7
Saturday,4,0.0,1.0,count,1
Saturday,5,0.0,5.0,count,5
Saturday,6,0.0,2.0,count,2
Saturday,7,1.0,8.0,count,9
Saturday,8,0.0,15.0,count,15
Saturday,9,0.0,20.0,count,20
Saturday,10,5.0,56.0,count,61
Saturday,11,2.0,60.0,count,62
Saturday,12,8.0,90.0,count,98
Saturday,13,7.0,95.0,count,102
Saturday,14,12.0,83.0,count,95
Saturday,15,5.0,69.0,count,74
Saturday,16,8.0,68.0,count,76
Saturday,17,5.0,64.0,count,69
Saturday,18,3.0,52.0,count,55
Saturday,19,4.0,26.0,count,30
Saturday,20,0.0,28.0,count,28
Saturday,21,2.0,35.0,count,37
Saturday,22,1.0,33.0,count,34
Saturday,23,0.0,22.0,count,22
Sunday,0,1.0,24.0,count,25
Sunday,1,0.0,12.0,count,12
Sunday,2,0.0,11.0,count,11
Sunday,3,0.0,4.0,count,4
Sunday,4,0.0,1.0,count,1
Sunday,5,0.0,1.0,count,1
Sunday,6,0.0,1.0,count,1
Sunday,7,1.0,5.0,count,6
Sunday,8,0.0,10.0,count,10
Sunday,9,0.0,19.0,count,19
Sunday,10,0.0,49.0,count,49
Sunday,11,2.0,47.0,count,49
Sunday,12,4.0,79.0,count,83
Sunday,13,6.0,69.0,count,75
Sunday,14,8.0,64.0,count,72
Sunday,15,5.0,77.0,count,82
Sunday,16,13.0,79.0,count,92
Sunday,17,3.0,59.0,count,62
Sunday,18,4.0,44.0,count,48
Sunday,19,1.0,40.0,count,41
Sunday,20,0.0,38.0,count,38
